time,hilbert transform,fft without zero padding,fft witho zero padding (441000),fft witho zero padding (4410000),comparator
0,49146.514568066435,49150.183784552784,49146.24951056396,49145.5192515942,49147.74680069883
4,49148.919762579746,49150.183784552784,49147.18438755141,49147.75822741432,49149.772541487284
8,49143.19398862941,49150.183784552784,49147.18438755141,49147.75822741432,49151.27889778424
12,49143.56378068247,49150.183784552784,49147.41810679827,49147.75822741432,49148.01716465116
16,49096.086733323245,49150.183784552784,49148.58670303257,49147.75822741432,49136.11168052352
20,49146.15417091074,49150.183784552784,49148.82042227942,49147.75822741432,49139.6753882952
24,49143.181646345656,49150.183784552784,49149.05414152629,49149.99720323444,49140.91483047656
28,49145.20078881568,49150.183784552784,49147.41810679827,49147.75822741432,49132.253603392484
32,49143.69420321747,49150.183784552784,49147.41810679827,49147.75822741432,49146.01431017317
36,49139.82723169383,49150.183784552784,49146.95066830454,49147.75822741432,49144.910242001126
40,49144.962494083724,49150.183784552784,49146.95066830454,49147.75822741432,49137.23226130905
44,49141.41897919919,49150.183784552784,49146.48322981083,49145.5192515942,49142.07080283336
48,49098.61372958194,49150.183784552784,49148.82042227942,49147.75822741432,49091.10794853063
52,49147.514727245536,49150.183784552784,49149.287860773155,49149.99720323444,49134.97093854234
56,49146.62709796232,49150.183784552784,49149.755299266864,49149.99720323444,49147.40862652754
60,49149.09732604758,49150.183784552784,49150.923895501175,49149.99720323444,49153.95038689293
64,49148.33519278744,49150.183784552784,49148.35298378571,49147.75822741432,49153.02323123718
68,49144.40069702747,49150.183784552784,49145.54835282339,49145.5192515942,49145.56472165895
72,49143.21420848293,49150.183784552784,49147.65182604513,49147.75822741432,49147.8274608649
76,49142.789015443006,49150.183784552784,49147.65182604513,49147.75822741432,49151.37786282578
80,49142.66719038952,49150.183784552784,49147.88554529198,49147.75822741432,49135.38746944932
84,49143.25350083369,49150.183784552784,49148.11926453885,49147.75822741432,49149.22903462504
88,49141.23888236473,49150.183784552784,49149.05414152629,49149.99720323444,49141.338861150274
92,49145.40539870883,49150.183784552784,49147.88554529198,49147.75822741432,49146.31348360317
96,49143.89284742926,49150.183784552784,49148.35298378571,49147.75822741432,49148.541428280005
100,49145.32912228965,49150.183784552784,49148.11926453885,49147.75822741432,49147.9873063406
104,49144.76246793069,49150.183784552784,49148.82042227942,49147.75822741432,49151.133390501345
108,49146.99581110265,49150.183784552784,49148.35298378571,49147.75822741432,49141.7165289973
112,49147.61281610229,49150.183784552784,49148.82042227942,49149.99720323444,49152.71351640093
116,49146.32333589475,49150.183784552784,49149.287860773155,49149.99720323444,49150.24897297523
120,49147.290988466,49150.183784552784,49148.82042227942,49147.75822741432,49147.45085872034
124,49144.1215786251,49150.183784552784,49147.65182604513,49147.75822741432,49148.98571194798
128,49139.86705217057,49150.183784552784,49144.61347583595,49145.5192515942,49149.68724878698
132,49142.270299514115,49150.183784552784,49144.8471950828,49145.5192515942,49148.47912151676
136,49144.107185770685,49150.183784552784,49147.41810679827,49147.75822741432,49139.658178199374
140,49146.737235283115,49150.183784552784,49147.18438755141,49147.75822741432,49141.91271142219
144,49144.66068012205,49150.183784552784,49148.58670303257,49147.75822741432,49148.88077004799
148,49147.51765213227,49150.183784552784,49149.287860773155,49149.99720323444,49152.84836598316
152,49144.584661534376,49150.183784552784,49149.52158002001,49149.99720323444,49153.64578021324
156,49146.57288005891,49150.183784552784,49148.82042227942,49147.75822741432,49144.41944509846
160,49147.73964479088,49150.183784552784,49148.11926453885,49147.75822741432,49150.27858502551
164,49144.45659425727,49150.183784552784,49146.24951056396,49145.5192515942,49147.500911038434
168,49144.988982681316,49150.183784552784,49146.716949057685,49147.75822741432,49149.577447292475
172,49144.84913684434,49150.183784552784,49147.18438755141,49147.75822741432,49145.37210063284
176,49145.3176149703,49150.183784552784,49147.18438755141,49147.75822741432,49150.11072087717
180,49143.97503454389,49150.183784552784,49148.11926453885,49147.75822741432,49152.05374423796
184,49147.428534640254,49150.183784552784,49148.35298378571,49147.75822741432,49147.50724383426
188,49147.186363943896,49150.183784552784,49148.35298378571,49147.75822741432,49150.21414389332
192,49144.54791787078,49150.183784552784,49148.11926453885,49147.75822741432,49146.49188781915
196,49145.94229203798,49150.183784552784,49148.11926453885,49147.75822741432,49150.58655651288
200,49146.97763632869,49150.183784552784,49148.58670303257,49147.75822741432,49146.96326394945
204,49141.854359323785,49150.183784552784,49148.35298378571,49147.75822741432,49150.61064318596
208,49143.982386749034,49150.183784552784,49147.88554529198,49147.75822741432,49151.111127060416
212,49142.470823568714,49150.183784552784,49147.18438755141,49147.75822741432,49145.61456143309
216,49142.28346197582,49150.183784552784,49146.48322981083,49145.5192515942,49145.17412472397
220,49143.958415552246,49150.183784552784,49144.37975658908,49143.28027577409,49148.75738336907
224,49141.01431697759,49150.183784552784,49142.510002614195,49143.28027577409,49144.294422501735
228,49142.10263312315,49150.183784552784,49142.510002614195,49143.28027577409,49147.252579644024
232,49139.75857437234,49150.183784552784,49143.44487960164,49143.28027577409,49146.30936985661
236,49141.25063606651,49150.183784552784,49144.61347583595,49145.5192515942,49144.94018130133
240,49141.79666616555,49150.183784552784,49144.8471950828,49145.5192515942,49147.37058723694
244,49140.87173946546,49150.183784552784,49144.61347583595,49145.5192515942,49133.061875370724
248,49139.978410762014,49150.183784552784,49145.31463357652,49145.5192515942,49149.208898805766
252,49141.89603599493,49150.183784552784,49145.782072070244,49145.5192515942,49148.52169636833
256,49141.32410828965,49150.183784552784,49146.48322981083,49145.5192515942,49148.126859025884
260,49143.63362033894,49150.183784552784,49145.54835282339,49145.5192515942,49133.51681533224
264,49140.70703093726,49150.183784552784,49145.31463357652,49145.5192515942,49150.871773513274
268,49144.22359786473,49150.183784552784,49145.54835282339,49145.5192515942,49147.95982071417
272,49144.42068672095,49150.183784552784,49147.41810679827,49147.75822741432,49147.20079711961
276,49141.102784242976,49150.183784552784,49146.48322981083,49145.5192515942,49150.28219053461
280,49141.92802231317,49150.183784552784,49145.31463357652,49145.5192515942,49147.180231599596
284,49138.79771737573,49150.183784552784,49145.54835282339,49145.5192515942,49131.95146160644
288,49095.45453285177,49150.183784552784,49148.35298378571,49147.75822741432,49133.64044189309
292,49147.46667348327,49150.183784552784,49148.35298378571,49147.75822741432,49148.40222678113
296,49097.44024669728,49150.183784552784,49148.82042227942,49149.99720323444,49149.666095600594
300,49145.571204483385,49150.183784552784,49148.11926453885,49147.75822741432,49149.753117617605
304,49144.68108961202,49150.183784552784,49146.95066830454,49147.75822741432,49145.971623880934
308,49145.57565064629,49150.183784552784,49148.82042227942,49147.75822741432,49147.94718677318
312,49143.849439765036,49150.183784552784,49148.35298378571,49147.75822741432,49152.86532601306
316,49144.49101185909,49150.183784552784,49148.58670303257,49147.75822741432,49149.74009165706
320,49144.03928822719,49150.183784552784,49148.58670303257,49147.75822741432,49152.92496946064
324,49143.57039493662,49150.183784552784,49148.11926453885,49147.75822741432,49146.03197933174
328,49144.67715810155,49150.183784552784,49149.05414152629,49149.99720323444,49149.542407533656
332,49145.53450745307,49150.183784552784,49148.82042227942,49147.75822741432,49150.35044836504
