time,hilbert transform,fft without zero padding,fft with zero padding (441000),fft with zero padding (4410000),comparator
0,49077.007800380714,49126.98149480398,49144.08400483683,49144.94975443987,49137.2290783451
8,49038.98467835377,49126.98149480398,49142.67749037871,49142.6448604452,48906.045191616104
16,49157.48252957913,49126.98149480398,49149.00680544025,49149.55954242922,49114.73337738551
24,48922.74080473731,49126.98149480398,49152.52309158555,49151.8644364239,49054.150041447574
32,49155.03862857933,49126.98149480398,49149.47564359295,49149.55954242922,49131.048621110174
40,48886.630896547096,49126.98149480398,49143.146328531424,49142.6448604452,49023.801095620365
48,49143.54627900367,49126.98149480398,49148.53796728755,49149.55954242922,49136.778471106176
56,49139.558180298045,49126.98149480398,49148.06912913484,49147.25464843455,49028.29288863689
64,49020.45011128601,49126.98149480398,49152.52309158555,49151.8644364239,49108.96786147079
72,49009.58700481517,49126.98149480398,49143.38074760777,49142.6448604452,48852.28455414012
80,49139.36295566442,49126.98149480398,49149.94448174567,49149.55954242922,49107.437016117
88,48884.952036637864,49126.98149480398,49149.94448174567,49149.55954242922,49002.810329095184
96,49004.171739678575,49126.98149480398,49145.02168114225,49144.94975443987,49020.57603476349
104,49120.151568512716,49126.98149480398,49145.02168114225,49144.94975443987,49089.346075494825
112,49127.35731846637,49126.98149480398,49147.131452829424,49147.25464843455,49087.51050778058
120,49000.7512152988,49126.98149480398,49147.365871905786,49147.25464843455,48956.40504546564
128,48835.95253055656,49126.98149480398,49140.80213776789,49140.33996645053,49063.53794994104
136,49119.197550856436,49126.98149480398,49139.39562330977,49140.33996645053,49151.86433639252
144,48990.16273455452,49126.98149480398,49140.56771869154,49140.33996645053,49041.47557494475
152,48984.40044209918,49126.98149480398,49139.39562330977,49140.33996645053,49117.472463950064
160,49119.93579515193,49126.98149480398,49137.05143254624,49138.035072455845,49136.358441967124
168,49123.16771937082,49126.98149480398,49150.64773897472,49149.55954242922,49114.09510029172
176,48994.709175134536,49126.98149480398,49139.630042386125,49140.33996645053,49001.383148544715
184,48983.148192390276,49126.98149480398,49139.16120423342,49140.33996645053,49064.8796050725
192,49105.771437014926,49126.98149480398,49141.27097592059,49140.33996645053,49004.89270502714
200,49122.10229821531,49126.98149480398,49148.06912913484,49147.25464843455,49125.756731102294
208,49141.84374534396,49126.98149480398,49152.757510661904,49151.8644364239,49084.50934516767
216,49102.31572970688,49126.98149480398,49144.55284298954,49144.94975443987,49123.017599389066
224,49106.65315941551,49126.98149480398,49145.256100218605,49144.94975443987,49119.64690150232
232,49106.15502263218,49126.98149480398,49147.365871905786,49147.25464843455,49128.20162867044
240,49111.43930915148,49126.98149480398,49145.95935744766,49144.94975443987,49119.67558380368
248,49097.896665919805,49126.98149480398,49146.42819560037,49147.25464843455,49136.05504639637
256,49106.40901978656,49126.98149480398,49145.02168114225,49144.94975443987,49135.44366735108
264,49107.78709222029,49126.98149480398,49146.66261467672,49147.25464843455,49125.013056404256
272,48994.4633128865,49126.98149480398,49141.739814073306,49142.6448604452,49101.189077923074
280,49102.9327414889,49126.98149480398,49144.08400483683,49144.94975443987,49105.20361939897
288,48979.22783995034,49126.98149480398,49150.88215805107,49151.8644364239,49076.930070583265
296,49100.41122271947,49126.98149480398,49139.39562330977,49140.33996645053,49132.80561904589
304,49121.8088259552,49126.98149480398,49150.88215805107,49151.8644364239,49139.61647596271
312,48858.1767552142,49126.98149480398,49155.336120501786,49154.16933041857,49074.425667258336
320,49105.71114383747,49126.98149480398,49146.42819560037,49147.25464843455,49110.93984238644
328,48855.73380308107,49126.98149480398,49147.365871905786,49147.25464843455,49130.46121218778
336,49109.62199032157,49126.98149480398,49150.41331989837,49149.55954242922,49154.76287942327
344,48972.815247502636,49126.98149480398,49146.42819560037,49147.25464843455,49073.41198760124
352,49094.54414936893,49126.98149480398,49152.99192973825,49154.16933041857,49116.57429817672
360,49112.88322677331,49126.98149480398,49142.91190945507,49142.6448604452,49101.68572807124
368,48965.36985246661,49126.98149480398,49145.02168114225,49144.94975443987,49107.60159259818
376,49118.08178666326,49126.98149480398,49145.02168114225,49144.94975443987,49076.15143548256
384,49089.028293299605,49126.98149480398,49146.66261467672,49147.25464843455,49068.2573293782
392,49110.810744680515,49126.98149480398,49140.80213776789,49140.33996645053,49122.833073900416
400,49093.52214085418,49126.98149480398,49146.19377652401,49147.25464843455,49157.286526574055
408,49198.320376002324,49126.98149480398,49147.83471005849,49147.25464843455,49121.55186089135
416,49093.20628603752,49126.98149480398,49147.60029098213,49147.25464843455,49075.903622488746
424,48956.32849934467,49126.98149480398,49143.38074760777,49142.6448604452,49067.95785063933
432,49085.99880841244,49126.98149480398,49144.78726206589,49144.94975443987,49043.53631227742
440,49096.406154318145,49126.98149480398,49145.02168114225,49144.94975443987,49127.18129962586
448,49205.97591163221,49126.98149480398,49137.28585162259,49138.035072455845,49130.012264506724
456,49185.693918982215,49126.98149480398,49149.00680544025,49149.55954242922,49096.70332033834
464,49065.161466345045,49126.98149480398,49139.39562330977,49140.33996645053,49175.16865478991
472,49053.248107996915,49126.98149480398,49149.00680544025,49149.55954242922,49027.438377659615
480,49059.731277139486,49126.98149480398,49144.31842391319,49144.94975443987,49173.02688140518
488,49022.22122483631,49126.98149480398,49139.86446146248,49140.33996645053,49068.57806358221
496,49159.46935732856,49126.98149480398,49145.724938371306,49144.94975443987,49038.238013118906
504,49061.16866275798,49126.98149480398,49152.757510661904,49151.8644364239,49118.260027095224
512,49092.57486819477,49126.98149480398,49148.77238636389,49149.55954242922,49124.55834696508
520,49071.98930979355,49126.98149480398,49150.64773897472,49149.55954242922,49154.67837225087
