time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49037.90348249018,49156.40311409967,49145.760512662164,49145.29078467378,49084.63486958971
8,48982.515837315834,49156.40311409967,49143.646736714436,49142.94214473186,49000.11440894914
16,48989.31717647145,49156.40311409967,49144.821056685396,49145.29078467378,49055.987995893905
24,49048.22452208195,49156.40311409967,49146.46510464475,49145.29078467378,49039.96955079734
32,49017.62433056404,49156.40311409967,49147.40456062151,49147.6394246157,49021.88654753607
40,48891.15126629668,49156.40311409967,49146.934832633124,49147.6394246157,49008.790768084255
48,49116.19752856744,49156.40311409967,49150.22292855181,49149.98806455762,49136.59947136584
56,49086.43986727856,49156.40311409967,49151.63211251696,49152.33670449954,49080.78994097221
64,49022.792650926924,49156.40311409967,49152.57156849373,49152.33670449954,49122.31734874157
72,48918.754606095434,49156.40311409967,49152.33670449954,49152.33670449954,48971.8495973148
80,49019.57421272417,49156.40311409967,49151.39724852277,49152.33670449954,49065.642293535675
88,48981.41747415276,49156.40311409967,49148.578880592475,49147.6394246157,49002.666655701425
96,49012.16135739787,49156.40311409967,49148.81374458667,49147.6394246157,49050.75994300932
104,49079.21524299684,49156.40311409967,49148.34401659827,49147.6394246157,49079.74457859032
112,49108.25745950596,49156.40311409967,49145.995376656356,49145.29078467378,49108.47448710473
120,48947.71249496548,49156.40311409967,49145.05592067959,49145.29078467378,49018.47794707446
128,48976.75046012617,49156.40311409967,49144.58619269121,49145.29078467378,48997.6333686357
136,49139.46924946834,49156.40311409967,49145.52564866797,49145.29078467378,49118.497507124725
144,49073.56069470887,49156.40311409967,49146.46510464475,49147.6394246157,49108.49734286854
152,48911.51272084596,49156.40311409967,49144.11646470281,49145.29078467378,49099.59952927772
160,49041.972300239686,49156.40311409967,49143.646736714436,49142.94214473186,49081.599539880386
168,49040.39752741355,49156.40311409967,49146.46510464475,49147.6394246157,49028.1017190748
176,48913.230496758195,49156.40311409967,49144.821056685396,49145.29078467378,49010.600114828645
184,48909.107097559456,49156.40311409967,49143.17700872605,49142.94214473186,49013.50188403307
192,49069.51460323518,49156.40311409967,49145.29078467378,49145.29078467378,49000.65771200525
200,49036.63762521206,49156.40311409967,49145.995376656356,49145.29078467378,49113.92061849389
208,49167.75825975246,49156.40311409967,49146.69996863894,49147.6394246157,49155.01530250771
216,49137.49858445531,49156.40311409967,49145.995376656356,49145.29078467378,49120.64615844102
224,49071.02571186322,49156.40311409967,49145.995376656356,49145.29078467378,49113.311151576876
232,49111.15650017149,49156.40311409967,49146.69996863894,49147.6394246157,49077.7429490308
240,49111.691520095555,49156.40311409967,49148.34401659827,49147.6394246157,49099.3588563954
248,49071.37578567814,49156.40311409967,49149.518336569236,49149.98806455762,49108.94152665807
256,49096.730856603535,49156.40311409967,49149.28347257504,49149.98806455762,49140.78089128994
264,49082.04608630051,49156.40311409967,49148.109152604084,49147.6394246157,49103.47197782141
272,48945.85363297853,49156.40311409967,49145.52564866797,49145.29078467378,49054.789264561725
280,49034.72206198277,49156.40311409967,49145.05592067959,49145.29078467378,49105.32913739083
288,49075.187970472005,49156.40311409967,49146.46510464475,49145.29078467378,49122.77468398882
296,49100.058951855906,49156.40311409967,49145.52564866797,49145.29078467378,49108.71173738137
304,49139.42873406058,49156.40311409967,49145.29078467378,49145.29078467378,49089.98236897714
312,49078.832631472564,49156.40311409967,49146.934832633124,49147.6394246157,49091.6188131088
320,49071.88874277114,49156.40311409967,49146.69996863894,49147.6394246157,49078.29992730628
328,49043.998747184,49156.40311409967,49146.46510464475,49145.29078467378,49096.12959106806
336,49118.45174833841,49156.40311409967,49151.866976511155,49152.33670449954,49144.471316987176
344,49075.464927964094,49156.40311409967,49149.98806455762,49149.98806455762,49112.13232642058
352,49066.90025184254,49156.40311409967,49148.578880592475,49147.6394246157,49129.49062524302
360,48801.32476232542,49156.40311409967,49146.934832633124,49147.6394246157,49059.08307108933
368,49014.38011866068,49156.40311409967,49147.40456062151,49147.6394246157,49100.68886995625
376,49077.61404698661,49156.40311409967,49147.169696627316,49147.6394246157,49082.73026204719
384,48986.18953491927,49156.40311409967,49147.87428860989,49147.6394246157,49105.90726000867
392,49075.48923829716,49156.40311409967,49147.6394246157,49147.6394246157,49108.15995396718
400,49085.244543976136,49156.40311409967,49146.934832633124,49147.6394246157,49106.91763080433
408,48955.206583074,49156.40311409967,49145.995376656356,49145.29078467378,49079.853537971394
416,49043.96890010722,49156.40311409967,49144.821056685396,49145.29078467378,49104.81245343912
424,49036.48744839301,49156.40311409967,49144.35132869702,49145.29078467378,49084.05363315252
432,49026.05715537897,49156.40311409967,49145.52564866797,49145.29078467378,49082.72870028407
440,48978.149199395884,49156.40311409967,49146.69996863894,49147.6394246157,49066.378059350325
448,49111.0848095664,49156.40311409967,49145.29078467378,49145.29078467378,49083.551496296444
456,48980.94867405352,49156.40311409967,49145.52564866797,49145.29078467378,49111.782779928835
464,49061.06382059532,49156.40311409967,49145.760512662164,49145.29078467378,49103.61028352295
472,48967.13581984808,49156.40311409967,49143.17700872605,49142.94214473186,49055.34145110417
480,49057.23134044964,49156.40311409967,49146.934832633124,49147.6394246157,49153.00280245206
488,48888.49289183189,49156.40311409967,49147.169696627316,49147.6394246157,48962.994484340845
496,48980.711768789355,49156.40311409967,49146.69996863894,49147.6394246157,48949.401258396516
504,49055.07660598002,49156.40311409967,49147.6394246157,49147.6394246157,49107.677217989
512,49067.03612414447,49156.40311409967,49147.87428860989,49147.6394246157,49110.52823722069
520,49025.76078350975,49156.40311409967,49148.34401659827,49147.6394246157,49096.06311840251
